code,trade_en,short,trade_zh,typical_sections,keywords
DEM,Demolition,Demolition,拆卸工程,Demolition and Alterations,demolish;demolition;dismantle;removal;strip out;break down;拆卸;清拆;拆毀
EXC,Excavation and Earthworks,Excavation,挖掘及土方工程,Excavation;Basement,excavate;excavation;earthwork;bulk excavation;earthworks;backfill;disposal;挖掘;土方;回填;開挖
PIL,Piling,Piling,樁基工程,Piling,plies;piling;pile cap;bored pile;driven pile;h-pile;mini-pile;樁;樁基;鑽孔樁;工字樁
SUB,Substructure,Substructure,下層結構工程,Substructure,substructure;foundation;raft;footing;ground beam;地基;基礎;地腳;承台
CON,Concrete Works,Concrete,混凝土工程,Concrete,concrete;concreting;grout;concrete works;混凝土;石屎
REB,Reinforcement,Reinforcement,鋼筋混凝土工程,Reinforcement,rebar;reinforcement;steel bar;reinforced;tie wire;鋼筋;扎鐵;鐵筋
FMW,Formwork,Formwork,模板工程,Formwork,formwork;form;shuttering;shutter;mould;模板;木模;金字模
SSW,Structural Steelwork,Structural Steel,Structural Steel,鋼結構工程,Structural Steel
MET,Metal Works,Metal,金屬工程,Metal Works,metalwork;metal works;handrail;balustrade;stainless steel;aluminium;mild steel;ladder;grate;金屬;鋁;不鏽鋼;欄杆;扶手
ROF,Roofing,Roofing,屋面工程,Roofing,roofing;roof;roof tile;skylight;roof deck;屋面;屋頂;天面
WPR,Waterproofing,Waterproofing,防水工程,Waterproofing,waterproof;waterproofing;bituminous;membrane;tanking;防水;防潮;瀝青;膜
CWALL,External Walls and Curtain Wall,External Walls,外牆及幕牆工程,External Wall;Curtain Wall;Cladding,curtain wall;cladding;external wall;facade;glazed wall;stone cladding;aluminium cladding;幕牆;外牆;鋁板;玻璃幕牆
JON,Joinery and Carpentry,Joinery,木工及細木工程,Joinery,joinery;carpentry;timber;wood;door set;skirting;architrave;fitting;木工;木材;門套;腳線;傢俬
GLA,Glazing,Glazing,玻璃工程,Glazing,glazing;glass;mirror;window glass;tempered glass;玻璃;鏡
PLA,Plastering,Plastering,批盪工程,Plastering,plaster;plastering;render;rendering;screed base;批盪;掃灰;盪
SCR,Screeding,Screeding,砂漿找平工程,Screeding,screed;screeding;floor screed;leveling;找平;砂漿
